SC, 0.99999768067409822, DM, 2.0812305426134176e-06, SA, 2.2558819124895219e-07,ST, 0.76391100692849234, HA, 0.10599702489943692, SC, 0.04498587306695942
SA, 0.99779693496154409, SC, 0.0022030069301938802, DM, 4.3285367058415801e-08,ST, 0.85571303502344231, HA, 0.069680918780536533, SC, 0.030347387575359496
SA, 0.9601920347213414, SC, 0.039674539843917486, CH, 0.00013342449685573279,ST, 0.36952605000484684, HA, 0.24681704488466003, CK, 0.15969058460030591
SA, 0.99935244827255698, SC, 0.00046157236150060754, DM, 0.0001855388106727201,RE, 0.51897899194561203, ST, 0.25152262762557864, CK, 0.10480705428355988
SA, 0.99959174225187331, SC, 0.00040450676871680815, DM, 3.4919779030267613e-06,ST, 0.6660570553431322, RE, 0.16408560364566643, CK, 0.059699004652788115
SA, 0.86323163036918005, SC, 0.13675112204537673, DM, 1.7224727642408468e-05,ST, 0.53050933929630473, RE, 0.17837376954655385, CK, 0.15991728914520886
DM, 0.78134324953026857, SC, 0.21865632795202286, DB, 4.1726060122473227e-07,RE, 0.4638570389997938, ST, 0.25764905194693394, SC, 0.12766812776755157
SC, 0.75941621974288742, SA, 0.24058375652901218, CH, 2.2843813161372521e-08,ST, 0.54709083349722099, HA, 0.1512818277026248, RE, 0.11252505368706191
SC, 0.99976074032424422, DM, 0.00023919581291142802, DB, 3.9436531920748157e-08,ST, 0.44154634200780352, RE, 0.20888263879184335, SC, 0.13526108349744437
DM, 0.54556424893701061, SA, 0.22883402507698372, SC, 0.22560133099571417,RE, 0.52614467184827296, ST, 0.21190450113203915, SC, 0.12474683508078858
SC, 0.99999995281105125, DB, 4.697249325680194e-08, DM, 1.1186734123880642e-10,ST, 0.57717381115661615, RE, 0.20302627871805504, CK, 0.12229849580537742
SC, 0.71228527476306114, DM, 0.28771414571074344, DB, 5.7939863276267601e-07,ST, 0.57944233827305602, RE, 0.27730526956753887, SC, 0.054448904833263409
SA, 0.99790760884265883, SC, 0.0020275850629662474, DM, 6.4275707956142728e-05,RE, 0.67651607577302919, ST, 0.26125066828099724, CK, 0.018948568422184564
SC, 0.91327590954685489, DM, 0.086703836856938402, DB, 2.0237487714554059e-05,ST, 0.34055768805187941, SC, 0.32528461205639475, HA, 0.22315300306371763
SA, 0.90658151439477652, DM, 0.065732792737613469, SC, 0.027685691562644096,ST, 0.46807367885218104, HA, 0.35632197659752757, SC, 0.11214547435524747
SC, 0.99999998113280675, DM, 1.1792027546331822e-08, DB, 4.8545732619076222e-09,CK, 0.40759414137435312, ST, 0.18771508438208884, RE, 0.16596306801316121
